GCRR;Arrecife airport;San Bartolomé;Canary Islands;Spain
MMSD;Los Cabos International airport;S. Jose del Cabo;Baja California Sur;Mexico
CYLW;Kelowna International airport;Kelowna;British Columbia;Canada
LSZH;Zurich International airport;Kloten;Canton of Zurich;Switzerland
VOCC;Kochi airport;Kochi;Kerala;India
KSAT;San Antonio International airport;San Antonio;Texas;United states
KLGA;LaGuardia airport;Flushing;New York;United states
KDCA;Washington National airport;Arlington;Virginia;United states
